uuid,pagerank_score
other__find,29.310057328880173
doctor_find_New-York,2.09140677744851
doctor_find_Florida,2.0500783543581265
doctor_find_Texas,1.8332294096077009
doctor_find_Pennsylvania,1.0329237669780442
doctor_find_New-Jersey,1.0094705964821105
doctor_find_Georgia,0.9572645279832785
doctor_find_Illinois,0.9244428679428688
doctor_find_Virginia,0.8642464650777156
doctor_Dermatologic-Surgeon_Jason-Emer?iq-card=pro,0.8333633473097795
doctor_Dermatologic-Surgeon_Jason-Emer,0.8333633473097795
doctor_find_North-Carolina,0.7898059829397748
doctor_find_Washington,0.7766922606252978
doctor_Plastic-Surgeon_Steven-Wallach?iq-card=pro,0.7746443840657632
doctor_Plastic-Surgeon_Steven-Wallach,0.7746443840657632
doctor_find_United-Kingdom,0.755125613480877
doctor_find_Maryland,0.7116254404379406
doctor_find_Michigan,0.6768117141867147
doctor_find_Massachusetts,0.618385153697654
doctor_Georgia_Atlanta,0.5688431590931593
doctor_Plastic-Surgeon_Tom-J-Pousti?iq-card=pro,0.5518754880957343
doctor_Plastic-Surgeon_Tom-J-Pousti,0.5518754880957343
doctor_find_Ohio,0.5322573321948323
doctor_Plastic-Surgeon_Kenneth-Hughes?iq-card=pro,0.5255484894855087
doctor_Plastic-Surgeon_Kenneth-Hughes,0.5255484894855087
doctor_Pennsylvania_Philadelphia,0.5048697184749817
doctor_find_Louisiana,0.499899243774244
doctor_Texas_Houston,0.4947429921607554
doctor_United-Kingdom_London,0.48106477342003684
doctor_Plastic-Surgeon_Elizabeth-Morgan?iq-card=pro,0.4722251880217373
doctor_Plastic-Surgeon_Elizabeth-Morgan,0.4722251880217373
doctor_Illinois_Chicago,0.4554988524988527
doctor_Facial-Plastic-Surgeon_William-Portuese,0.44841950828081684
doctor_find_Missouri,0.44819129294129306
doctor_Facial-Plastic-Surgeon_William-Portuese?iq-card=pro,0.44545439200174713
doctor_find_Tennessee,0.43950419925419926
doctor_find_South-Carolina,0.42290676287492945
doctor_Texas_Dallas,0.414505803880804
doctor_New-York_Plastic-Surgeon,0.4080679671205987
doctor_Plastic-Surgeon_Raffy-Karamanoukian?iq-card=pro,0.4072453085752785
doctor_Plastic-Surgeon_Raffy-Karamanoukian,0.4072453085752785
doctor_find_Oregon,0.3917402670053987
doctor_find_Oklahoma,0.38618404118404137
doctor_Plastic-Surgeon_Darryl-Blinski?iq-card=pro,0.3763678552092365
doctor_Plastic-Surgeon_Darryl-Blinski,0.3763678552092365
doctor_New-York_Dentist,0.3731289651440513
doctor_find_Minnesota,0.368644601820005
doctor_find_Indiana,0.36601915651915656
doctor_Plastic-Surgeon_Vincent-Zubowicz?iq-card=pro,0.3536166130448421
doctor_Plastic-Surgeon_Vincent-Zubowicz,0.3536166130448421
doctor_London_Plastic-Surgeon,0.35294122129648453
doctor_Washington_Seattle,0.35153177080987613
doctor_find_Mexico,0.3450100250626566
doctor_New-York_Dermatologist,0.33575109649122803
doctor_Massachusetts_Boston,0.33366386991387
doctor_Plastic-Surgeon_Nelson-Castillo,0.32957118478050784
doctor_find_Utah,0.3289505314307946
doctor_Plastic-Surgeon_Nelson-Castillo?iq-card=pro,0.32630195401127704
doctor_New-York_Dermatologic-Surgeon,0.32531249999999995
doctor_find_Nevada,0.32388184338184345
doctor_Hair-Restoration-Surgeon_William-Rassman?iq-card=pro,0.32291096995942103
doctor_Hair-Restoration-Surgeon_William-Rassman,0.32291096995942103
doctor_Hair-Restoration-Surgeon_Jae-Pak?iq-card=pro,0.3218333532553336
doctor_Hair-Restoration-Surgeon_Jae-Pak,0.3218333532553336
doctor_Texas_San-Antonio,0.32110928633954955
doctor_North-Carolina_Raleigh-Durham,0.31805569016095336
doctor_Mexico_Plastic-Surgeon,0.3166766917293233
doctor_Texas_Austin,0.30721970596970594
doctor_Pennsylvania_Pittsburgh,0.30686320303096626
doctor_Maryland_Baltimore,0.3029181207306208
doctor_Plastic-Surgeon_Jed-Horowitz?iq-card=pro,0.30143215508424553
doctor_Plastic-Surgeon_Jed-Horowitz,0.30143215508424553
doctor_Florida_Jacksonville,0.30098522553785717
doctor_Tennessee_Nashville,0.2982861226611227
doctor_Plastic-Surgeon_Larry-Nichter?iq-card=pro,0.29671211650528095
doctor_Plastic-Surgeon_Larry-Nichter,0.29671211650528095
doctor_Florida_Tampa,0.29670294401544406
doctor_Plastic-Surgeon_Emmanuel-Mallol-Cotes?iq-card=pro,0.2917508432387786
